replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
200,3933.896,3933.8271,-6.7930317,-0.0026923271,0.0018186031,0.0013071932,-0.008326329,0.0027751415,0.0016286179,0.007814341,-0.0013912905,9.061708,62.062458,999.8738,-1.8663032,-6.795767,0.6733499,-4.906622,-8.913084,-0.0003381168,0.0012853553,0.003040637,-0.003058602,-0.00021899496,0.0017754964,0.0038187318,-0.004170687,0.9997000694274902,-0.0,200,8,33.333333333333336,33.80663971602159,80,1,-1.288535604820861,0.09462378383671999,-1.1312614181187433,-1.608584577203493,-42.95118682736203,43.74344127651264,-1.1354417936928685,-103.3408979858676,0.025768379,0.62789834,0.9964715,-0.9954393,3,-42.95118682736203,400,2,200.0,0.0,200,200,-1.2688766526583288,0.009989921847981214,-1.2084967304337035,-1.30222261813329,-253.77533053166582,1.8877913276439386,-251.88753920402186,-255.66312185930974,-0.0002657898,0.0011197249,0.0018058993,-0.0023735405,2,-253.77533053166582,0.0009249340000678785,60.0092725009963,28.556881468997744,0.002002199995331466,0.012754891999065876,1.7219880799966631,90.30382407598518,137.17936673098302,0
300,11096.22,11085.563,-23.959682,15.782848,6.2685156,35.48122,4.351301,16.01742,6.2479014,36.092953,4.714088,14.791271,107.30537,999.8791,-2.3244467,-3.7401097,2.2595334,2.0450478,-10.039246,-0.10185113,0.6606723,0.86164445,-0.9114066,-0.23795493,0.039824575,-0.14929451,-0.35005495,0.9706320762634277,-0.4059254229068756,300,12,25.0,13.693063937629153,48,12,-0.8807060938651599,2.194471558886387,9.861839646545803,-1.8730094274068485,-22.017652346629,27.103209994199414,5.698091580379908,-63.41145264459705,-0.05044161,0.6350589,0.9876192,-0.99866474,4,-22.017652346629,800,4,200.0,0.0,200,200,-1.3609484067421653,0.027925136346424666,-1.1845055272037164,-1.3820577084763745,-272.18968134843306,1.8315281485886032,-270.3581531998444,-274.02120949702163,-0.083819,0.5156125,0.65028983,-0.6803521,2,-272.18968134843306,0.0006129030007286929,59.43324048900104,35.48552481099614,0.0022478909959318116,0.007317263000004459,1.7124943050002912,96.64143766199413,233.82307624596433,1
400,6923.162,6911.719,-26.450424,11.5101,14.362623,78.30857,0.12856227,11.448437,14.483863,79.17996,0.058082376,10.279327,87.88735,999.8791,-7.127988,0.85201573,5.560512,12.8788395,-8.499966,-0.11549032,1.0138112,1.6595156,-1.6930833,-0.33294615,0.16724278,-0.008521517,-0.6556073,0.9487351179122925,-0.4797194302082062,400,14,50.0,30.0,80,20,-1.074335422375289,1.559463332554502,9.857953286557015,-1.6102947259210931,-53.71677111876446,39.605483607222084,-14.11128751154238,-93.32225472598654,-0.0365777,0.6510967,0.9889854,-0.99283844,2,-53.71677111876446,1243,8,110.75,89.28430713176868,200,18,-1.2785939456439173,0.535273707367847,9.856108286095676,-1.850598267958968,-141.60427948006378,116.80310808222967,-14.986542747391685,-262.4592209713342,-0.047766224,0.41123775,0.9232234,-0.92897916,4,-141.60427948006378,0.0006739390009897761,73.41524197200488,21.61446528899978,0.0017896969948196784,0.0061468569983844645,1.4805807750017266,96.51889852900058,330.3465099369714,2
500,12655.442,12611.683,-34.92608,18.318882,28.62069,142.22964,0.6672985,17.92912,28.893034,145.00002,0.4128419,22.743635,123.17122,999.8791,-2.042555,1.8253582,7.8025026,18.69888,-8.418714,0.004257603,1.1483988,2.3854947,-2.3841105,-0.32753152,0.19514425,-0.07304917,-0.8091325,0.9289160966873169,-0.6011677384376526,500,20,16.666666666666668,9.392668535736915,31,5,18.9080929388315,140.14369654366968,999.8546167526996,-2.042555173437143,315.1348823138584,484.52978155276077,1005.1270916799302,-41.357015703374834,0.0075135934,0.74556094,0.99577135,-0.99714565,6,315.1348823138584,1737,15,70.57142857142857,81.86025922763943,200,18,-1.2523244718546536,0.7127793938308447,9.860940192268911,-1.8642898261570826,-88.37832701374269,105.99629216345723,-14.24746732837471,-258.3692954249629,0.003826533,0.41411456,0.9788183,-0.9785553,7,-88.37832701374269,0.0006986520020291209,94.22333813599835,49.19731050500559,0.002435319001961034,0.00717352799983928,1.7407377840063418,145.1716939240141,475.52063944198744,3
600,3619.011,3621.0862,-37.97872,17.805202,24.600588,136.05124,2.2448413,16.852493,25.019005,138.02968,1.7097646,17.143835,62.54351,999.8546,-1.8058603,2.269326,9.143524,19.061344,-10.801654,0.097222686,1.1659216,2.2282948,-2.298198,-0.32808393,0.19609259,-0.07655605,-0.6675797,0.9110074639320374,-0.7191908955574036,600,22,50.0,49.0,99,1,-1.335176478774595,0.06535307637311329,-1.1552312289370703,-1.6580348815938273,-66.75882393872975,65.60359270979266,-1.1552312289370703,-132.3624166485224,0.057014413,0.68757343,0.99846977,-0.99742424,2,-66.75882393872975,2184,18,149.0,72.12489168102785,200,47,-1.30576693222324,0.03745355892789834,-1.1631201374496463,-1.5842473285142988,-194.55927290126274,93.5771524421925,-62.30249732204987,-264.7043974044576,0.038758546,0.38397488,0.975817,-0.9780691,3,-194.55927290126274,0.000890670002263505,66.62912364899967,21.531208370994136,0.002243321003334131,0.0073882090000552125,1.7936187969971797,89.96447301699664,565.4878711999845,4
700,3356.188,3363.418,-50.988907,30.792927,42.873226,258.0005,3.8942893,29.670288,43.88202,264.11423,3.5803857,22.407907,64.23393,999.8791,-1.8058603,2.8141108,10.329138,22.022202,-8.957134,-0.071790986,1.2171938,2.6573186,-2.729119,-0.3148747,0.21612869,0.012932779,-0.8068983,0.8889951705932617,-0.8438783884048462,700,23,100.0,0.0,100,100,-1.342219545995059,0.10197627461108277,-1.136601225644157,-1.524827254715268,-134.2219545995059,0.0,-134.2219545995059,-134.2219545995059,-0.045203462,0.67800546,0.99583614,-0.9985487,1,-134.2219545995059,2605,21,140.33333333333334,84.38140922159468,200,21,-1.2577659565181267,0.06671900428658173,-1.1196953516197983,-1.9107283758407496,-176.50648923137706,103.57322079793903,-30.033149364272607,-250.28040288962373,-0.02985469,0.3539484,0.99419075,-0.9949607,3,-176.50648923137706,0.0013437090019579045,66.65143175299454,14.732163927001238,0.0017244830014533363,0.005843680999532808,1.4865590059998794,82.8790665589986,648.3696521659876,5
800,3867.873,3939.8408,-46.798737,28.945854,37.359116,189.8043,5.182472,28.198069,37.88322,190.4658,5.5652285,26.706917,66.32507,999.84894,-2.042555,1.3464315,10.121922,24.855125,-8.977356,-0.011096602,1.1340771,3.0732865,-3.1734552,-0.30538347,0.20379134,-0.036963377,-0.89528674,0.8660521507263184,-1.242186188697815,800,26,33.333333333333336,31.47838764754143,76,1,-1.1997610523733324,1.1174527602024038,9.83512654046366,-1.7421792420087272,-39.9920350791111,41.8070209234054,-1.1252284798864853,-98.01000791524848,-0.050433908,0.71283245,0.99846005,-0.9989413,3,-39.9920350791111,3005,23,200.0,0.0,200,200,-1.211406771839911,0.034824453908203046,-1.1171024711533721,-1.322882508125062,-242.28135436798232,5.27917117628057,-237.00218319170173,-247.56052554426287,-0.024297876,0.55789095,0.99454105,-0.9955481,2,-242.28135436798232,0.0009508129951427691,60.36817863800388,28.463692722994892,0.0021815609943587333,0.007208511000499129,1.7822666639985982,90.62447890998737,738.9966408419859,6
900,4675.963,4710.531,-60.074535,41.545174,57.88401,526.1685,3.056323,41.157555,57.560722,529.45483,3.7811353,38.97095,76.92695,999.8546,-2.042555,2.7147207,9.616853,23.56459,-9.966987,0.21670575,1.197023,3.649363,-3.7921555,-0.3152052,0.19663407,0.20759735,-1.026377,0.8437380194664001,-1.2360180616378784,900,29,33.333333333333336,32.99831645537221,80,10,8.998477504738737,99.59780838364289,999.8634758555913,-1.5351325098218738,299.949250157958,504.3263414425815,1011.3396366441394,-100.02208248966983,0.11261666,0.7922411,0.99966365,-0.9997216,3,299.949250157958,3405,25,200.0,0.0,200,200,-1.225110541339073,0.031181040328504408,-1.1565178462012211,-1.2824165233987213,-245.02210826781464,5.32371152813792,-239.69839673967672,-250.34581979595256,0.121377654,0.71867585,0.99847203,-0.9985298,2,-245.02210826781464,0.0006773969944333658,60.95174502900045,28.586663605005015,0.0021513829997275025,0.007165606002672575,1.7731052349990932,91.32150825500139,830.3207878959947,7
1000,3932.9014,3953.7244,-77.58502,48.850388,70.852104,352.6486,3.53653,48.80076,70.29988,349.35223,4.4546824,45.67939,87.71064,999.84894,-1.8058603,6.5405865,9.168512,26.418783,-10.1574135,0.34817672,1.412847,3.1074624,-3.2621305,-0.41450566,0.19071148,0.03815353,-0.93184894,0.8309560418128967,-0.6402798295021057,1000,31,50.0,17.0,67,33,-1.2944153924927753,0.07978711327126702,-1.1263375131212823,-1.564106869981578,-64.72076962463875,21.412847703164996,-43.307921921473756,-86.13361732780375,0.3280324,0.8317118,0.9992747,-0.9996039,2,-64.72076962463875,3812,28,135.66666666666666,90.98107251266912,200,7,1.2545143384193955,49.566111185504454,999.9199309482894,-1.3515498530864087,170.19577857889786,590.0625335692841,1004.4085551854097,-265.00681908279455,0.3227439,0.83825296,0.99651134,-0.9971128,3,170.19577857889786,0.000641527003608644,67.57950313000038,21.79290173100162,0.002157186005206313,0.007202963002782781,1.7501913300002343,91.13259786701383,921.4560312190151,8
1100,4845.574,4873.077,-118.947174,87.1975,109.84969,456.21365,3.0524173,87.31402,110.096596,460.35422,3.8811336,86.83255,126.6771,999.8791,-1.8058603,10.885217,7.221664,26.38396,-9.745911,0.42819375,1.6281902,3.1546392,-3.7961044,-0.48454183,0.1595076,-0.0040061474,-0.813169,0.8276638984680176,0.1674414426088333,1100,35,25.0,3.3166247903554,28,20,-1.259626300173882,0.08818383588568524,-1.1264885557134534,-1.5318999887917362,-31.490657504347062,3.7118838248110975,-25.592826297757437,-35.22610987316337,0.2578171,0.84847444,0.9993685,-0.9992478,4,-31.490657504347062,4278,33,93.2,87.92360320187066,200,2,0.9969634898790836,46.331597140840685,999.8991950520275,-1.509533600784942,92.91699725673064,463.60279429043834,998.7665337926934,-244.54801399922678,0.28425345,0.83934975,0.9937763,-0.9941143,5,92.91699725673064,0.0006556230000569485,81.07310070499807,35.61773069800256,0.002338573001907207,0.007247442998050246,1.7375525669995113,118.43862560900016,1039.8973759080254,9
