replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
200,28.547525,28.48153,-6.691633,-0.0008939256,0.001477077,0.0031351098,-0.0045017395,0.0053391727,0.0024816822,0.011044867,-0.0011358908,5.2620816,0.92119867,6.934983,-1.5369568,-6.692476,0.71266234,-4.943775,-8.639558,6.6801666e-05,0.0011187888,0.0030293558,-0.0027817972,-0.00044445,0.001870652,0.0049035484,-0.005175293,0.9997000694274902,-0.0,200,3,100.0,0.0,100,100,-1.273653752754367,0.06533091313064221,-1.1333831734156112,-1.4325874550557605,-127.36537527543673,0.0,-127.36537527543673,-127.36537527543673,-0.0002268474,0.6183935,0.9973334,-0.9954811,1,-127.36537527543673,400,2,200.0,0.0,200,200,-1.2726539009415705,0.02313193418936111,-1.2364742833429572,-1.320448766492774,-254.530780188314,4.6034109826213125,-249.92736920569268,-259.1341911709353,0.00015137318,0.0009921709,0.001525832,-0.0021158436,2,-254.530780188314,0.0015358279999873048,81.89240637199998,19.40563827299991,0.003967395000017859,0.02167004000000361,2.1259992239999974,103.4512171319999,135.00190828799987,0
300,1.0759614,1.0773969,-12.544441,5.747687,0.44813377,6.9292464,4.1254,5.7522497,0.45255715,6.928166,4.1346726,5.5510764,0.8604292,7.03238,-1.5369568,-6.8317223,0.41417524,-5.8926897,-8.139406,0.00411052,0.044811968,0.09835773,-0.06308929,-0.126107,0.014876398,-0.08567044,-0.15963198,0.9701395630836487,-0.5052059292793274,300,4,100.0,0.0,100,100,-1.3345270463240888,0.055337487295010084,-1.2136797389444942,-1.4576623363936325,-133.45270463240888,0.0,-133.45270463240888,-133.45270463240888,-0.009476485,0.58848506,0.9949817,-0.99467003,1,-133.45270463240888,800,4,200.0,0.0,200,200,-1.2510100979284084,0.012229511611419348,-1.2092088629395146,-1.2731093169921806,-250.2020195856818,2.3437533129409047,-247.85826627274088,-252.5457728986227,0.003883334,0.04232786,0.09540496,-0.05754647,2,-250.2020195856818,0.000633282000080726,74.709630705,19.70519064899986,0.0017240550000678923,0.005895303999977841,1.671032915000069,96.09410691000005,231.10168639899973,1
400,0.49948338,0.4988662,-13.368721,6.5904303,0.40295467,7.764485,5.3549623,6.588343,0.40027538,7.7777004,5.2425966,6.6448464,0.6415896,8.163374,-1.5369568,-6.8046713,0.37543836,-5.815508,-8.020993,0.019944528,0.05786787,0.15498754,-0.054771915,-0.12572214,0.014980563,-0.081539296,-0.16012433,0.9414631128311157,-1.0086188316345215,400,5,100.0,0.0,100,100,-1.2331372326416248,0.05415038543143274,-1.1301944170456513,-1.3824935729646264,-123.31372326416252,0.0,-123.31372326416252,-123.31372326416252,0.020233497,0.58899355,0.9868069,-0.99086875,1,-123.31372326416252,1200,6,200.0,0.0,200,200,-1.271126783589335,0.009538591931936145,-1.243720910644582,-1.2929919038215378,-254.22535671786704,1.8658513738816964,-252.35950534398535,-256.09120809174874,0.01909357,0.05502156,0.14587732,-0.051402114,2,-254.22535671786704,0.0030534919999354315,80.11350525199987,22.194828147999942,0.004198695000013686,0.009556363999990936,2.6622292520000883,104.98737120299984,336.0917378149999,2
500,0.2762079,0.29697493,-14.67111,7.943194,0.40318215,9.213473,6.8881793,7.953286,0.42412272,9.40337,7.002804,8.040417,0.40861875,10.053074,7.0924067,-6.769022,0.45812035,-5.5325766,-9.202066,0.016153371,0.055900246,0.1358288,-0.098844945,-0.12636223,0.0148414,-0.09658951,-0.1778626,0.9136397838592529,-1.5095291137695312,500,7,50.0,30.0,80,20,-1.2711989062388491,0.07140163910751524,-1.1510391915938216,-1.5486160986033886,-63.55994531194244,37.30962354168834,-26.2503217702541,-100.86956885363078,-0.0029579282,0.57655495,0.9967595,-0.99056333,2,-63.55994531194244,1600,8,200.0,0.0,200,200,-1.2548318183893603,0.004442070971729015,-1.2001726456592139,-1.2641596385978784,-250.96636367787198,0.41162030652475323,-250.55474337134723,-251.37798398439674,0.015283777,0.054276686,0.13491811,-0.08679244,2,-250.96636367787198,0.0006337410000014643,82.80285266700002,30.264777671000047,0.0026585310001792095,0.007674576999988858,2.253942344000052,115.3325395310003,451.42779327400024,3
600,1.0950724,1.1372336,-16.334316,9.51386,0.4457052,10.77887,8.265408,9.5295105,0.4702233,11.012472,8.298569,9.551741,1.0831063,20.706814,-1.548616,-6.817958,0.51648015,-5.3507333,-9.138687,0.017863316,0.07284343,0.18091556,-0.104217954,-0.11626716,0.01114987,-0.080755554,-0.14503789,0.8866448998451233,-2.018336534500122,600,8,100.0,0.0,100,100,-1.1474437563347664,1.0989023998306027,9.771119189091742,-1.4213491932845366,-114.74437563347665,0.0,-114.74437563347665,-114.74437563347665,0.014485439,0.5861544,0.99545246,-0.9763823,1,-114.74437563347665,2000,10,200.0,0.0,200,200,-1.2708580994172651,0.010295801655139278,-1.1986402517325683,-1.291958380995835,-254.17161988345302,1.8918531368048264,-252.2797667466482,-256.06347302025785,0.01714828,0.07345356,0.1591177,-0.08685489,2,-254.17161988345302,0.0014609269999255048,83.91807670900016,19.62065529099982,0.0022100480000517564,0.007251623999991352,2.683616724000103,106.23327132300005,557.665206283,4
700,0.25511405,0.25076726,-17.852486,11.121515,0.50079995,12.595799,9.669135,11.1155815,0.52617663,12.732137,9.697017,11.203302,0.4883436,12.874866,9.800241,-6.7738166,0.5467484,-5.20794,-8.646,0.029135201,0.087142214,0.19403006,-0.11663145,-0.10831779,0.0115820225,-0.07583383,-0.1392375,0.8604600429534912,-2.5158793926239014,700,10,50.0,35.0,85,15,8.741062546307772,99.6091083049972,999.8390875000371,-1.3859041426840695,437.0531273153887,545.3558733501167,982.4090006655053,-108.30274603472803,0.02710381,0.5901717,0.99529207,-0.99508923,2,437.0531273153887,2400,12,200.0,0.0,200,200,-1.2732903803838311,0.007568148933049842,-1.1987591989198425,-1.274918035123175,-254.65807607676624,0.02471903968228162,-254.63335703708395,-254.68279511644852,0.028936828,0.08861259,0.1894992,-0.10837992,2,-254.65807607676624,0.0012270439999610971,73.49041970999997,20.68699999399996,0.0017857580000963935,0.006976745999963896,1.9288616779999757,96.11627092999993,653.7842102959997,5
800,20.792223,20.860037,-20.142712,7.681369,3.9882116,33.27323,2.600719,7.6936326,4.0065174,32.29562,2.4240048,7.1192465,2.49517,16.145885,-1.5369568,1.8680983,3.6672955,10.897115,-9.620999,-0.64982206,0.91336435,1.4958014,-1.492387,-0.37978452,0.051720995,-0.18996629,-0.51671,0.8397582769393921,-1.4189698696136475,800,11,100.0,0.0,100,100,-1.686308275031226,0.15155510474225917,-1.171383455293928,-1.8908537722003678,-168.6308275031226,0.0,-168.6308275031226,-168.6308275031226,-0.35931772,0.6102367,0.99730974,-0.99711996,1,-168.6308275031226,2852,16,113.0,87.02585822616172,200,23,-1.5942494552747333,0.11410352058041089,-1.123757555034388,-2.0967377602549266,-180.1501884460448,138.9683544724441,-35.05968589295834,-319.6456190229453,-0.40855053,0.55340934,0.87167203,-0.8734923,4,-180.1501884460448,0.0007895999999618653,73.46702443899994,14.341408424000065,0.002458123999986128,0.007378548999895429,1.8354793129999507,89.6545384489998,743.4411026919996,6
900,235.797,220.65492,-44.50086,12.177119,15.141286,122.79141,1.654914,11.748405,14.6845665,118.01755,1.913778,9.171829,4.2606783,23.745747,-1.5369568,11.839357,9.207613,28.191639,-7.838829,-0.8408638,1.4552585,2.3328433,-2.380693,-0.5294964,0.15767038,-0.058213614,-0.8005079,0.8362529277801514,0.3290000557899475,900,12,100.0,0.0,100,100,-1.278355821384803,0.03336076961265165,-1.2057511625997628,-1.361001727038205,-127.83558213848033,0.0,-127.83558213848033,-127.83558213848033,-0.13683265,0.68915737,0.99066156,-0.9964926,1,-127.83558213848033,3252,18,200.0,0.0,200,200,-1.2333863605123048,0.021665951430253565,-1.1197424886141025,-1.3187420139472663,-246.67727210246093,2.471572140068673,-244.20569996239226,-249.1488442425296,-0.17544203,0.37511918,0.97249776,-0.973846,2,-246.67727210246093,0.0006063049997919734,95.1591667140001,21.80900895600007,0.0022085499999775493,0.007244740000032834,1.818213949999972,118.79644921499994,862.2407693239996,7
1000,1432.0326,1364.0886,-47.243935,22.422935,36.439007,194.25903,0.53902197,22.488491,35.382935,189.93132,1.4861282,12.867948,12.676228,56.82463,-2.6594214,8.446656,8.419507,35.631496,-9.091419,0.26344952,1.5355455,2.741368,-3.4113564,-0.48819017,0.1377767,-0.104979634,-0.8330104,0.828157901763916,-0.2927647531032562,1000,16,25.0,10.124228365658293,38,12,-1.2283070269217544,0.10710197119392713,-1.074052287382995,-1.5795957311409752,-30.70767567304386,12.27331374028665,-15.497921976845305,-47.443203531032175,-0.019559905,0.85328245,0.9993319,-0.9994637,4,-30.70767567304386,3683,22,107.75,92.30486173544706,200,11,1.1008126450396867,48.16688315022972,999.8482531977687,-1.8609161311010385,118.6125625030263,516.4684708493384,999.4264209868851,-252.61948200717765,0.027488394,0.8491711,0.99373126,-0.9979697,4,118.6125625030263,0.0007924090000415163,108.54031471000008,42.17340201000002,0.00230785000007927,0.007291353999789862,1.9165791640000407,152.64068749700004,1014.8845088630002,8
1100,718.2947,698.2644,-42.18323,18.028591,28.07994,215.93236,2.170211,18.490475,27.306177,211.38004,2.5384223,15.980164,16.921524,102.378944,-1.803839,7.3024497,6.2169003,43.700005,-5.6937895,0.8049944,1.2617178,2.7888155,-5.66131,-0.43909636,0.14962052,0.24046455,-0.801284,0.8209076523780823,-0.5321597456932068,1100,20,25.0,15.588457268119896,50,10,-1.2603306154882978,0.15539950703227798,-1.0782737357105214,-1.8038390164162892,-31.508265387207445,19.42819314890717,-13.648145900562842,-63.73448339853367,0.15805648,0.786265,0.9975254,-0.99998736,4,-31.508265387207445,4066,30,47.875,58.289015903513075,200,10,5.57748038157961,51.15804419791333,999.9050675485026,-1.8371375150766713,267.02187326812407,519.5402320928772,1311.6397531041287,-49.872647351603824,0.13016249,0.8313103,0.9924516,-0.9999961,8,267.02187326812407,0.0006478129998868098,131.5826241000002,45.338060882000036,0.0018435350000345352,0.014057503000003635,1.9258875629998329,178.863121396,1193.7505611499998,9
