replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
275,29.292702,29.354752,-6.682783,0.0018228446,0.001700495,0.006883812,-0.003071047,-0.0039280253,0.0010862228,-0.0012077864,-0.006683415,5.370454,0.68614715,8.7633505,3.5194802,-6.686773,0.68562806,-4.445615,-8.333435,-0.00086003187,0.0012557367,0.0026527047,-0.00450378,2.5335787e-05,0.0015199423,0.0034850761,-0.004337121,0.9997000694274902,-0.0,275,2,200.0,0.0,200,200,-1.3212891211612068,0.061291317168779266,-1.1849350053109065,-1.5089274352242459,-264.2578242322413,0.0,-264.2578242322413,-264.2578242322413,-0.00036355352,0.6332194,0.9985335,-0.99590844,1,-264.2578242322413,200,1,200.0,0.0,200,200,-1.2761688670847358,0.004386106308283071,-1.2211053836733052,-1.2776066361419989,-255.23377341694714,0.0,-255.23377341694714,-255.23377341694714,-0.0008983308,0.001033927,0.0010429155,-0.003189526,1,-255.23377341694714,0.0013615840580314398,37.86506423202809,23.26550738804508,0.0022003919584676623,0.01369234302546829,1.8150748619809747,62.96290080109611,85.19370151113253,0
475,0.32972404,0.35312974,-12.436832,5.6842494,0.44242278,6.6007953,3.7944832,5.680038,0.473032,6.6883326,3.6151958,5.596672,0.34938917,6.665538,4.7291307,-6.790967,0.40525603,-5.761228,-10.14639,0.0055567063,0.031154525,0.06780748,-0.050274055,-0.12957506,0.011366396,-0.09854145,-0.1633688,0.9701381921768188,-0.5040069818496704,475,3,200.0,0.0,200,200,-1.2958330275116712,0.05865362330042581,-1.183334003258301,-1.4616364874766468,-259.1666055023341,0.0,-259.1666055023341,-259.1666055023341,-0.019238804,0.59299296,0.9866366,-0.99685764,1,-259.1666055023341,400,2,200.0,0.0,200,200,-1.2249982496508118,0.002310168554922552,-1.2045632306245406,-1.246653612741567,-244.99964993016235,0.0,-244.99964993016235,-244.99964993016235,0.005247441,0.029613817,0.05559446,-0.041101154,1,-244.99964993016235,0.0013060650089755654,41.16973401501309,23.22683449892793,0.0024145980132743716,0.007823179941624403,1.7467567729763687,66.15486912988126,151.35116672411095,1
675,0.3361309,0.3287983,-13.316158,6.496461,0.46276927,7.658957,3.8168426,6.4955387,0.4562133,7.634677,4.135952,6.5990496,0.39828223,8.719397,5.7521744,-6.866688,0.4238837,-5.8296437,-8.925255,-0.0020844496,0.030432805,0.052883,-0.055216704,-0.13397495,0.015927605,-0.097591065,-0.18362145,0.9414488673210144,-1.012593150138855,675,5,100.0,2.0,102,98,-1.3239523233000308,0.05462196874389665,-1.1746506330335709,-1.5399039832103658,-132.39523233000307,2.0760673873587194,-130.31916494264433,-134.47129971736177,-0.015351044,0.59536624,0.9967253,-0.99534357,2,-132.39523233000307,600,3,200.0,0.0,200,200,-1.3072272490099142,0.0033148203915215986,-1.2985441079606712,-1.3358317381767546,-261.44544980198276,0.0,-261.44544980198276,-261.44544980198276,-0.0017604134,0.029782923,0.04412025,-0.046251778,1,-261.44544980198276,0.0012401569401845336,33.76998861704487,29.465254998998716,0.001586687983945012,0.0057114060036838055,1.4653764279792085,64.70915829495061,216.06362952280324,2
875,0.22675437,0.23187338,-14.73272,7.9647875,0.46589345,9.107146,5.067449,7.954564,0.45258892,8.853377,5.6473155,7.9775167,0.43165347,10.295042,6.559142,-6.8175106,0.421196,-5.6159983,-9.450241,0.009050054,0.04978031,0.09769586,-0.08288877,-0.12585083,0.010926313,-0.09638755,-0.1654514,0.9136142730712891,-1.5143659114837646,875,6,200.0,0.0,200,200,-1.287106137598115,0.05016599123945447,-1.173462870191871,-1.4581060470718616,-257.421227519623,0.0,-257.421227519623,-257.421227519623,0.002624297,0.5998607,0.9983858,-0.9957498,1,-257.421227519623,800,4,200.0,0.0,200,200,-1.2771445056480675,0.0022916361186818626,-1.262650128464684,-1.28982116707725,-255.42890112961354,0.0,-255.42890112961354,-255.42890112961354,0.008575425,0.04827482,0.085371524,-0.07249049,1,-255.42890112961354,0.0012585569638758898,33.411955520976335,22.499763223924674,0.0015356839867308736,0.005737851955927908,1.4755448709474877,57.39579570875503,273.461933236802,3
1075,0.26520768,0.2697682,-16.161892,9.392814,0.6491853,10.866215,6.774624,9.387178,0.6487324,10.815785,6.8823705,9.442606,0.46306857,10.699374,7.667247,-6.8430386,0.44533044,-5.3629856,-9.25322,0.010932361,0.057573818,0.12153642,-0.15384302,-0.123201095,0.014391331,-0.08509536,-0.16727205,0.8866167664527893,-2.021881580352783,1075,10,50.0,35.67211796347394,107,16,-1.2981781933525054,0.11265357966765607,-1.1264219283859498,-1.924439592053032,-64.90890966762527,47.161452379220066,-19.520760936934447,-139.52087808860563,0.0028758498,0.5892945,0.98979056,-0.9989064,4,-64.90890966762527,1000,5,200.0,0.0,200,200,-1.2763478215681143,0.003173655844857994,-1.2674865418557921,-1.3040294520446065,-255.269564313623,0.0,-255.269564313623,-255.269564313623,0.011077989,0.0583551,0.10266708,-0.13324825,1,-255.269564313623,0.0018608319805935025,34.26164938393049,43.16486428596545,0.001989120035432279,0.007082910044118762,1.8442110039759427,79.28165753593203,352.74609914561734,4
1275,0.6466963,0.6494266,-17.6282,10.827601,0.579531,12.105582,8.463853,10.819244,0.5904433,12.133958,8.535087,10.862424,0.9348591,12.810198,-1.5409081,-6.8438773,0.54344827,-5.198854,-9.094086,0.014672978,0.07072471,0.12159153,-0.17393315,-0.11215796,0.012625628,-0.06628448,-0.15549149,0.8604320883750916,-2.5269322395324707,1275,11,200.0,0.0,200,200,-1.300085416833429,0.05129371393229993,-1.1755724656339668,-1.4267826049008545,-260.0170833666858,0.0,-260.0170833666858,-260.0170833666858,0.003312009,0.5997601,0.99917334,-0.9936113,1,-260.0170833666858,1200,6,200.0,0.0,200,200,-1.2307646379540207,0.0033680800238130347,-1.1964765222317997,-1.2314376657609574,-246.15292759080415,0.0,-246.15292759080415,-246.15292759080415,0.01428094,0.07139347,0.10712595,-0.1505277,1,-246.15292759080415,0.0011884620180353522,33.60833209299017,22.586352108977735,0.0019318050472065806,0.007025924976915121,1.70516995806247,57.91000035207253,410.6587066579377,5
1475,1.292651,1.3423351,-19.09721,12.409004,0.73188186,14.638649,9.161409,12.386348,0.7433833,14.485488,9.207521,12.476608,1.296094,23.154217,-1.9244395,-6.766332,0.47976837,-5.5391865,-8.261179,0.013587472,0.072571,0.18955617,-0.17733024,-0.105163775,0.009409796,-0.082531266,-0.14122848,0.8350231647491455,-3.0178768634796143,1475,17,33.333333333333336,15.336956093769787,58,6,-1.247596159959052,0.791039490614447,9.859447757696197,-1.562432058934986,-41.58653866530173,17.279146304181154,-7.698188636844328,-63.97850916331829,0.013753272,0.5944557,0.9938797,-0.9960486,6,-41.58653866530173,1400,7,200.0,0.0,200,200,-1.2759664251209868,0.00289504710182654,-1.2633235863375152,-1.2960464066237818,-255.1932850241973,0.0,-255.1932850241973,-255.1932850241973,0.012827698,0.07035809,0.1292887,-0.152629,1,-255.1932850241973,0.0013131359592080116,33.45125163497869,56.99495950806886,0.0015736069763079286,0.005760866100899875,1.4912427109666169,91.94610146305058,502.6074419991346,6
1675,1.3175629,1.3643295,-20.860939,14.115915,0.848617,15.937309,9.846586,14.124702,0.83811253,15.853743,10.048966,13.963027,1.5353428,15.804978,-1.5985427,-6.841269,0.5134238,-5.4053364,-8.3909235,-0.00048629203,0.06894047,0.12270144,-0.19369315,-0.0937142,0.012515711,-0.06278006,-0.12397726,0.8103706240653992,-3.5360565185546875,1675,18,200.0,0.0,200,200,-1.288975213580993,0.04823556787757194,-1.1902589224758735,-1.4040676544537805,-257.79504271619857,0.0,-257.79504271619857,-257.79504271619857,-0.0054543144,0.6020735,0.9951484,-0.9979571,1,-257.79504271619857,1600,8,200.0,0.0,200,200,-1.284372573792628,0.0052295913348735365,-1.2236225153546711,-1.2850446365593755,-256.87451475852544,0.0,-256.87451475852544,-256.87451475852544,-0.00028759486,0.06767613,0.105777286,-0.16767317,1,-256.87451475852544,0.001644456060603261,33.61285338597372,22.440994670032524,0.0015267240814864635,0.005714897997677326,1.5089770840713754,57.57171121821739,560.181680022506,7
1875,0.89920026,0.9312954,-22.102276,15.36073,0.9625633,17.045412,10.352577,15.336432,0.95590883,17.19191,10.522301,15.392974,1.3415802,17.866282,-1.562432,-6.8500843,0.5286463,-5.676919,-9.884913,0.004917798,0.07633758,0.17192496,-0.20810823,-0.093079865,0.011801753,-0.058797963,-0.13003746,0.7864438891410828,-4.04291296005249,1875,22,50.0,36.979724174201195,103,12,8.74158517488846,99.60483771376323,999.7970278786426,-1.477764198344457,437.07925874442304,456.95336802008353,917.2379385786832,-23.884254387287694,-0.0013933143,0.60246414,0.9946274,-0.9982386,4,437.07925874442304,1800,9,200.0,0.0,200,200,-1.2935098072858724,0.003742041951386175,-1.2897881455565332,-1.3248740417371057,-258.7019614571743,0.0,-258.7019614571743,-258.7019614571743,0.00544713,0.07351501,0.121013634,-0.16520116,1,-258.7019614571743,0.0012266620760783553,33.35380099702161,43.272033012937754,0.0015611579874530435,0.00577183288987726,1.496110885986127,78.1305045488989,638.3146670742426,8
2075,15.808049,15.41708,-25.575012,17.975271,3.336676,31.944765,11.757389,17.957983,3.295471,31.122143,12.043951,16.106216,1.6722429,20.12933,-1.562432,-4.789382,2.2308724,1.9729583,-10.270871,0.0150754005,0.57434976,1.4055985,-1.2880332,-0.16910687,0.077703774,-0.039489236,-0.48275557,0.7643223404884338,-3.9709272384643555,2075,23,200.0,0.0,200,200,-1.2825028690458753,0.06416663994002221,-1.1355213315878503,-1.4396661913285222,-256.500573809175,0.0,-256.500573809175,-256.500573809175,0.018433254,0.6310776,0.99781793,-0.99491495,1,-256.500573809175,2000,10,200.0,0.0,200,200,-1.284802354033535,0.013487880396873228,-1.1868039078502945,-1.2874864451519459,-256.96047080670706,0.0,-256.96047080670706,-256.96047080670706,0.026413582,0.42188117,0.6071721,-0.62360984,1,-256.96047080670706,0.0012113070115447044,33.193903245031834,22.687756863073446,0.0015389049658551812,0.0056840479373931885,1.4756311409873888,57.36572550900746,695.6829115411965,9
2275,16.319101,15.484341,-27.448023,19.388447,3.9658992,38.68046,13.418363,19.350065,3.8473382,38.48666,13.600983,17.988335,2.1203885,24.30816,-1.5985427,-4.1379576,2.8785577,4.5261583,-11.11583,-0.016244367,0.6338963,1.6867065,-1.5595218,-0.1494001,0.09344719,0.072816916,-0.44303542,0.7445085644721985,-4.167444705963135,2275,24,200.0,0.0,200,200,-1.2852560515242812,0.04365306110667354,-1.2067497094373174,-1.4280008413850755,-257.0512103048562,0.0,-257.0512103048562,-257.0512103048562,0.024144242,0.6350695,0.99686635,-0.99681264,1,-257.0512103048562,2200,11,200.0,0.0,200,200,-1.206133802470651,0.01049878989446695,-1.160671259554516,-1.227710231526221,-241.22676049413016,0.0,-241.22676049413016,-241.22676049413016,0.027420912,0.28289428,0.77203935,-0.7663184,1,-241.22676049413016,0.0011623910395428538,33.44720921490807,22.607598920934834,0.0027942790184170008,0.007132397033274174,1.9674109879415482,58.03330819087569,753.7187443890143,10
2475,37.867714,36.070164,-32.607674,22.905493,5.8891463,45.140293,14.593213,22.899597,5.749231,43.960052,14.468762,20.122505,3.5639613,33.60358,-1.562432,-1.2908854,3.344201,7.3880506,-9.706721,-0.01815289,0.88425696,2.103274,-1.9461341,-0.23892319,0.14148656,0.060591705,-0.5828312,0.7265898585319519,-3.6036975383758545,2475,25,200.0,0.0,200,200,-1.2723958014618972,0.0405495845787331,-1.1738999573817241,-1.3753425516660542,-254.47916029237962,0.0,-254.47916029237962,-254.47916029237962,0.026717626,0.6837126,0.999357,-0.9984866,1,-254.47916029237962,2400,12,200.0,0.0,200,200,-1.1280950985480926,1.1045180284395915,9.864225175092724,-1.250269219430678,-225.61901970961839,0.0,-225.61901970961839,-225.61901970961839,0.032699782,0.5375091,0.9490585,-0.8945722,1,-225.61901970961839,0.0011678400915116072,33.4121087040985,22.637439904967323,0.0015257700579240918,0.0058441219152882695,1.4720109910704195,57.53009733220097,811.251430798904,11
2675,22.979874,21.059544,-31.072123,22.65948,6.1422935,45.618042,13.253767,22.645815,5.981144,44.730114,13.077329,22.090048,5.3331447,44.671146,-1.9244395,-2.4320393,3.3257742,7.4391956,-9.071467,0.021775909,0.83058083,1.9936849,-1.6245298,-0.20733356,0.122016385,0.13540815,-0.6430095,0.7098835706710815,-4.256939888000488,2675,29,50.0,58.92792207434435,151,4,3.9284430695722916,70.61829483057429,999.8765630523815,-1.5958364725656677,196.42215347861463,474.4211203076322,1007.4675744500593,-197.89761183844558,0.054913644,0.6914357,0.9987894,-0.9987021,4,196.42215347861463,2634,15,78.0,87.02107024546795,200,3,2.9976133935103255,65.30915129965136,999.8363502567472,-1.4767839677553085,233.81384469380544,555.5716949390587,1008.5182827411038,-266.9607600328097,0.05641105,0.5974528,0.9567626,-0.86128277,3,233.81384469380544,0.0011593480594456196,47.0958764210809,43.34523417300079,0.002072582021355629,0.0070866490714251995,1.7459182169986889,92.19734739023261,903.4519310049945,12
2875,27.303522,25.905203,-37.54602,26.656927,6.9483056,55.553646,14.403042,26.653221,6.829736,55.749355,14.289192,25.830025,5.0609946,45.18704,18.37804,1.8721867,4.3847103,11.653463,-7.612116,-0.03186707,1.1274363,2.0980425,-1.857854,-0.3208478,0.15630071,0.03592802,-0.72584957,0.6951892971992493,-2.9535701274871826,2875,31,100.0,97.0,197,3,3.717187477387839,70.61558350486445,999.8721968472779,-1.4663713190501475,371.71874773878403,625.9185166848372,997.6372644236212,-254.1997689460531,-0.0025203356,0.7204423,0.9977222,-0.99834776,2,371.71874773878403,2834,16,200.0,0.0,200,200,-1.316251298568275,0.02407972744938195,-1.1874222297756143,-1.3665785441871623,-263.250259713655,0.0,-263.250259713655,-263.250259713655,-0.0041599143,0.6033627,0.9629284,-0.9469874,1,-263.250259713655,0.0012820360716432333,33.2511290339753,29.59175529598724,0.0019546039402484894,0.007091560983099043,1.8000195070635527,64.65323203802109,968.1077962641139,13
3075,6212.445,6244.177,-48.572357,32.67587,14.916131,122.23572,15.800387,32.65885,14.8036585,119.44274,15.45245,36.919586,85.8691,999.9008,-1.4345764,5.81736,6.291268,17.690945,-9.864505,-0.052507114,1.3690745,2.6076975,-2.2749472,-0.4152686,0.15390618,-0.008406931,-0.7557446,0.6870031356811523,-1.569864273071289,3075,41,20.0,16.480291259562133,51,3,14.058188497484503,121.66956812180422,999.9008263893851,-1.698524134857561,281.1637699496901,474.15917611411015,1008.7139507202223,-65.38502001799282,-0.030628033,0.7759431,0.99573326,-0.9985823,10,281.1637699496901,2910,18,38.0,18.0,56,20,-1.3371932627477658,0.0951956307538235,-1.1770261931890174,-1.6076867382791995,-50.81334398441511,23.63484673274716,-27.178497251667956,-74.44819071716228,-0.022082442,0.7230718,0.98240477,-0.9844516,2,-50.81334398441511,0.0013197619700804353,40.239841899019666,84.76975929003675,0.001482394989579916,0.005790986935608089,1.4855821119854227,126.5037764449371,1094.6141560251126,14
3275,138.97026,135.96782,-54.584686,38.610947,19.44953,171.99196,15.314048,38.73533,19.389471,169.66002,15.947629,37.75834,14.60632,88.17583,18.694273,6.2077684,6.334636,19.805578,-8.531054,0.02505381,1.3976673,2.197107,-2.19886,-0.41262674,0.1396341,0.01963967,-0.67361575,0.6805849671363831,-1.458935260772705,3275,46,40.0,25.58906016249913,72,5,9.430682045889382,99.57342840755639,999.8407001906031,-1.8671494201370975,377.2272818355752,531.2558342675333,1037.4424585009683,-91.54422973116037,-0.0074798362,0.7747097,0.9978511,-0.99786794,5,377.2272818355752,3156,20,123.0,77.0,200,46,-1.1213652473036728,1.2168487026886514,9.842988396424214,-1.7055705710820286,-137.92792541835175,110.10504895648691,-27.822876461864837,-248.03297437483866,0.0011594491,0.7037458,0.97771823,-0.96458286,2,-137.92792541835175,0.0012316820211708546,40.32013491494581,50.19405455701053,0.0018461589934304357,0.013558497070334852,1.6958075289148837,92.22663333895616,1186.8435166241834,15
3475,5840.5693,5847.037,-73.33295,50.859756,33.837193,256.49692,17.723368,50.983746,33.364258,252.54239,18.626692,53.963814,86.05092,999.8407,18.988089,7.572011,7.749579,21.486017,-10.456581,0.065169856,1.5061203,2.6588104,-2.4238994,-0.42597628,0.14825915,0.017707393,-0.7034723,0.6757417321205139,-0.9515108466148376,3475,48,100.0,97.0,197,3,3.8074580487007457,70.61424636082334,999.881777093937,-1.4247819485560096,380.7458048700745,627.9349321283449,1008.6807369984194,-247.1891272582704,0.06022331,0.7678316,0.99894077,-0.9997399,2,380.7458048700745,3391,24,58.75,81.55787822154277,200,10,-1.2778167519253911,0.7396430848176713,9.872271130830065,-2.0712312785416507,-75.07173417561671,107.85973153858772,-5.854831071003442,-261.73481546949984,0.036992643,0.7650703,0.9930845,-0.989146,4,-75.07173417561671,0.001132917939685285,54.06881591398269,29.525241622002795,0.0016414389247074723,0.0057449000887572765,1.5025856730062515,85.10516246594489,1271.951528478181,16
3675,338.38818,325.8273,-81.31213,55.951847,32.17145,238.22644,15.110854,56.236183,31.783998,235.07399,16.130974,55.44031,25.446112,162.23267,-1.5432479,8.2786255,7.5895057,31.682276,-8.329401,0.1754341,1.5062969,2.983081,-3.2240713,-0.4106422,0.16617723,0.22068311,-0.90623397,0.672978401184082,-0.6816725730895996,3675,49,200.0,0.0,200,200,-0.13823942176322723,3.222830956113003,9.877976077781096,-1.2989153257308976,-27.64788435264544,0.0,-27.64788435264544,-27.64788435264544,0.108571805,0.7559595,0.9995028,-0.99809915,1,-27.64788435264544,3630,27,79.66666666666667,85.4413379004696,200,10,-1.186296914635938,1.019281455495548,9.863430460455438,-1.9909636937861506,-94.5083208659964,110.11843857840682,-14.916858508709026,-250.22646192422684,0.09564461,0.6973802,0.9935842,-0.9924654,3,-94.5083208659964,0.0012463299790397286,47.42556061211508,22.6783510009991,0.002039272920228541,0.007081941934302449,1.7806444790912792,71.89492363703903,1343.8490262212,17
3875,3116.9548,3110.4814,-103.582504,72.62797,45.198517,415.0076,21.123985,72.50241,45.104412,412.7678,21.266088,72.07347,69.377556,999.842,-1.9244395,10.4733925,6.9531364,28.051226,-3.9504285,0.19701417,1.6210232,2.8659167,-2.6969955,-0.45688787,0.17116272,0.11911486,-0.81440175,0.6718438863754272,0.18828293681144714,3875,63,14.285714285714286,11.67065043742863,38,1,23.852326029301533,156.29253107539492,999.9009752144358,-1.9209611220760423,340.74751470430766,488.5545103893205,999.8708989943576,-49.78261564355362,0.06938226,0.8426549,0.99932194,-0.9996245,14,340.74751470430766,3826,36,21.77777777777778,11.477299118770425,39,1,9.239468273633626,100.59929451398835,999.8861002238798,-1.6517625692781006,201.21508684802117,432.13759300038237,1018.5659274524287,-47.855914908822974,0.08892226,0.8228739,0.99580085,-0.9976618,9,201.21508684802117,0.0012761189136654139,89.00838142691646,112.73254006402567,0.0023137610405683517,0.007109432015568018,1.7568532269215211,203.50847402983345,1547.360191279091,18
4075,427.43024,436.9102,-110.53103,81.948845,47.996536,302.80212,30.299622,82.337875,47.814713,305.78696,30.86842,76.22043,41.828625,258.95255,-1.465674,7.9012856,6.65473,29.427666,-9.13041,0.3440565,1.5059568,2.849579,-2.8559575,-0.397839,0.1648868,0.020735307,-0.79994833,0.6712324619293213,-0.8365927934646606,4075,64,200.0,0.0,200,200,-1.207377024697371,0.7842871904836693,9.836904531397042,-1.3524797552200882,-241.47540493947406,0.0,-241.47540493947406,-241.47540493947406,0.14508285,0.8210101,0.9995668,-0.99918777,1,-241.47540493947406,3952,41,25.2,14.85126257258958,40,1,7.353107330569105,88.81297048880782,999.8428624114782,-1.830455027998829,185.29830473034144,407.7458647944173,999.8428624114782,-50.56008677448321,0.13898413,0.80585396,0.9973007,-0.99867404,5,185.29830473034144,0.001148819923400879,61.27218980307225,22.605901629081927,0.0018668420379981399,0.007061192998662591,1.7175613469444215,85.60572963405866,1632.9703368379269,19
4275,4713.1963,4722.8096,-124.81818,95.8478,57.49849,345.63043,22.722664,96.21889,56.543915,341.7557,26.584093,100.18478,95.290436,999.8709,-1.8671495,8.750584,7.077335,31.321476,-9.047087,0.3055542,1.5786242,3.7476823,-3.7712207,-0.37482843,0.22694872,0.3788905,-0.8552375,0.6697145700454712,-0.5008492469787598,4275,66,100.0,89.0,189,11,3.871248471539582,70.6145542498535,999.7670537230961,-1.5007965829799441,387.1248471539583,622.4466969970646,1009.5715441510229,-235.32184984310635,0.07985244,0.85792774,0.9996571,-0.999991,2,387.1248471539583,4144,56,12.8,10.316330096825453,33,1,35.536277611485666,187.58876704053677,999.8932876923059,-1.7466965981794613,454.86435342701657,510.68288395115445,1006.3967266699099,-30.85221693365857,0.0907366,0.86133665,0.99943703,-0.99979925,15,454.86435342701657,0.001697699073702097,130.2062130839331,29.46332082594745,0.0020939609967172146,0.007276381948031485,1.6683896199101582,161.34899157180917,1794.3219752188306,20
4475,456.31595,440.679,-143.54497,109.90912,58.132397,257.18408,31.006104,109.87488,57.894993,254.53072,28.636992,107.13205,55.300743,258.62338,-1.5775925,12.344592,5.459034,29.283733,-4.6032476,0.19305813,1.7478625,3.808485,-3.4971726,-0.45875758,0.17591703,0.3727097,-0.8827394,0.6707074046134949,0.9365847110748291,4475,67,200.0,0.0,200,200,-1.5199552219784311,0.8078813471758782,9.826576790228913,-1.6520136929748144,-303.9910443956861,0.0,-303.9910443956861,-303.9910443956861,0.070397064,0.87030053,0.99982566,-0.9997455,1,-303.9910443956861,4334,71,12.666666666666666,7.760297817881877,24,1,20.016539518757792,143.7036301714948,999.8847837247929,-2.0411233959163506,253.54283390426536,454.2238662162271,1009.7391321579443,-30.97207574906621,0.0103173,0.8883335,0.9980253,-0.9995777,15,253.54283390426536,0.0012445589527487755,129.9766229230445,22.466175953974016,0.002054068027064204,0.007044635014608502,1.7850313009694219,154.23817343998235,1948.562837202684,21
4675,3894.1292,3868.5007,-150.20642,121.82579,64.95704,343.86777,28.195707,121.34116,64.753555,342.73376,32.225643,124.00661,82.897415,999.8883,34.95202,10.671978,6.929382,57.17365,-0.819415,0.17317638,1.6969922,4.694965,-5.1270294,-0.46372443,0.15534551,0.100525044,-0.9737054,0.6730377078056335,0.26609012484550476,4675,73,33.333333333333336,41.15283168331865,124,1,4.033004353206098,70.62528507126898,999.8503572133027,-1.9109539942608922,134.4334784402033,387.886923339671,999.8503572133027,-94.77900456613114,0.11908736,0.8491335,0.99991745,-0.9999935,6,134.4334784402033,4442,76,21.6,7.391887445030531,29,10,7.965172675197741,95.8702282064089,999.6532996439421,-2.1084373357942248,172.0477297842712,396.0718607196419,964.0508875516482,-35.71356631170354,0.061664212,0.8672759,0.99957114,-0.9999908,5,172.0477297842712,0.001601292984560132,60.93800114595797,57.130554436007515,0.002022355911321938,0.007877344964072108,1.742156478925608,119.82221305475105,2068.3876772595104,22
