replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
1200,3104.2722,3098.3706,-47.57798,34.007202,70.344894,862.2134,2.260555,33.85356,70.45632,865.78235,3.008043,39.39341,97.54908,999.816,-1.5665015,-1.1702433,7.380093,22.614876,-9.820799,-0.13998127,0.911095,2.9744825,-3.0926104,-0.26988667,0.16587171,-0.015503583,-0.8455628,0.7614706158638,-3.040903329849243,1200,28,100.0,0.0,100,100,-1.3021964061074789,0.06060495517005604,-1.1686195728184408,-1.4530503142105662,-130.21964061074786,0.0,-130.21964061074786,-130.21964061074786,-0.10536486,0.7151528,0.9982353,-0.99924666,1,-130.21964061074786,4761,43,140.0,84.8528137423857,200,20,-1.2605769163635223,0.7654002312129409,9.783630470190236,-1.7602272402935055,-176.48076829089314,106.19343527731958,-26.903503816673254,-262.91199509727136,-0.16000213,0.6968508,0.9944634,-0.99616444,3,-176.48076829089314,0.0005805641412734985,66.77666424401104,15.659092245157808,0.0022257750388234854,0.007093445165082812,1.964242110028863,84.4098983835429,1324.555471116677,10
1300,2346.495,2820.8828,-102.576836,88.06469,198.61317,785.57153,4.9095035,90.02024,204.41519,810.3049,4.5548058,81.1057,170.65907,662.66,-1.6834635,6.376494,16.26826,59.453518,-12.782378,-0.4316451,1.4567679,4.702697,-4.645471,-0.3989897,0.28521875,-0.060535118,-1.4118049,0.7450357675552368,-1.0658583641052246,1300,29,100.0,0.0,100,100,-1.5483270000315519,0.08624532646392714,-1.1572888409902184,-1.58769531055164,-154.8327000031552,0.0,-154.8327000031552,-154.8327000031552,-0.39782774,0.90320784,0.99995416,-0.9999592,1,-154.8327000031552,5195,46,144.66666666666666,78.25315045131126,200,34,-1.5112566549020563,0.07524366149168692,-1.1637625398507025,-1.9918555888443308,-218.62846274249742,117.24166303105761,-52.873341227636686,-305.0190128434077,-0.397968,0.9073237,0.9998397,-0.9998544,3,-218.62846274249742,0.001051801024004817,82.73004050692543,18.883133164141327,0.0028528079856187105,0.010200866963714361,3.5639026649296284,105.19118181196973,1429.7494116066955,11
1400,4414.2026,4668.563,-139.90125,123.49553,215.49498,728.2432,4.6621537,123.952194,215.95723,723.2038,4.8494043,117.77669,212.46649,999.816,-1.9846979,5.12336,11.198428,40.653282,-9.100433,-0.39929906,1.3819149,4.7626157,-5.417381,-0.36677083,0.22927767,0.16886032,-1.287293,0.7332813143730164,-1.512125849723816,1400,32,33.333333333333336,18.153665072253467,59,20,-1.464813542365391,0.19689746494140764,-1.0996032009251906,-2.210900458037479,-48.82711807884638,25.021201694549056,-30.74331344220225,-84.20953688331053,-0.20451011,0.8427858,0.99995834,-0.9999895,3,-48.82711807884638,5612,49,139.0,86.2670273047588,200,17,-1.5452092090965812,0.5631330861628403,9.759663901273342,-2.0514154792933565,-214.78408006442473,142.01560323403956,-14.337419348033464,-325.89315792236323,-0.19547983,0.81845707,0.9998974,-0.99997556,3,-214.78408006442473,0.0006074011325836182,82.46223953203298,29.471975083928555,0.0023789789993315935,0.0072980469558387995,2.8393716369755566,114.78387068002485,1544.540204043733,12
1500,1101.7145,1111.7548,-171.1365,149.7199,239.6128,889.3635,7.6397386,149.92567,240.25201,893.27936,7.188347,150.45944,240.52718,1066.1451,-1.5665015,8.829538,10.593874,32.63027,-9.188019,-0.6132434,1.4397228,2.7042234,-3.1197658,-0.45599547,0.19691342,0.008131084,-0.86922455,0.7263842821121216,-0.3741012513637543,1500,33,100.0,0.0,100,100,-1.5745990743696734,0.10833279149697836,-1.153934850068459,-1.6996273525927885,-157.45990743696734,0.0,-157.45990743696734,-157.45990743696734,-0.40960303,0.8374089,0.998114,-0.9994329,1,-157.45990743696734,5949,55,56.166666666666664,65.02926691540937,200,15,-1.45515316512271,0.10902737687285581,-1.1634255263727877,-1.9996335176142712,-81.73110277439228,95.34093642029497,-20.327204441081907,-292.41953866547834,-0.41043016,0.8389978,0.99434185,-0.9935548,6,-81.73110277439228,0.001501861959695816,107.11352926795371,21.860589160118252,0.002314282115548849,0.008685111999511719,3.431220219936222,132.41783990408294,1676.9612527249847,13
1600,4027.3992,5100.3345,-266.08493,246.06685,457.52896,2105.7146,8.418229,249.33575,467.59705,2162.0107,7.66758,241.05939,428.03085,1872.8805,-1.6702341,10.077672,14.135162,61.832115,-9.408443,-0.8500708,1.4716868,5.135024,-4.923782,-0.4621993,0.2552452,0.056807823,-1.4365079,0.7213324308395386,0.02536793053150177,1600,34,100.0,0.0,100,100,-1.828406481353458,0.13946190328234354,-1.1917975247072485,-1.8951434034268342,-182.8406481353457,0.0,-182.8406481353457,-182.8406481353457,-0.76016456,0.60254204,0.999977,-0.9999671,1,-182.8406481353457,6362,58,137.66666666666666,88.15264538792293,200,13,-1.6927784928628304,0.09900331211540879,-1.1802436660113393,-1.9181219373274532,-233.03917251744974,151.38100497126223,-19.045310501114468,-345.4475047918548,-0.7710989,0.5976672,0.99991685,-0.99987847,3,-233.03917251744974,0.0009376239031553268,94.85915840603411,18.856571298092604,0.0044061660300940275,0.01608594600111246,3.4197851018980145,117.15694454195909,1794.124206763925,14
1700,1862.6136,1913.0039,-339.8139,312.05176,449.39008,1959.6039,13.782846,313.11633,450.7342,1961.3105,12.196681,308.911,449.76373,1960.1707,-2.2109005,9.873613,8.22727,28.270391,-6.6636877,-0.8496965,1.397477,4.465819,-4.183026,-0.46913797,0.18600474,0.06308756,-0.91692454,0.719639778137207,-0.04158179834485054,1700,35,100.0,0.0,100,100,-1.5457781607952783,1.1421686060347471,9.753316870357239,-1.7577661322980764,-154.57781607952776,0.0,-154.57781607952776,-154.57781607952776,-0.5241596,0.65185016,0.9992565,-0.9984202,1,-154.57781607952776,6762,60,200.0,0.0,200,200,-1.781201409709293,0.09192354049991734,-1.2135061378007224,-1.8199727175117357,-356.2402819418587,1.4978816911258264,-354.7424002507329,-357.73816363298454,-0.5801106,0.5753833,0.9930615,-0.99057406,2,-356.2402819418587,0.0009206850081682205,90.97700708312914,21.73275735694915,0.002977991010993719,0.014781742123886943,3.2111133760772645,115.9395582342986,1910.0674595071469,15
1800,2738.315,2653.2415,-402.73102,372.21075,516.9875,1962.2737,9.363526,371.82736,516.5463,1959.2933,8.42358,370.66595,512.2086,1964.3107,-1.6702341,13.09652,7.2943707,30.03982,-5.290343,-0.8725809,1.5409138,3.5128212,-3.633153,-0.51878655,0.16080202,0.025850084,-1.0232044,0.7224485278129578,1.006940245628357,1800,36,100.0,0.0,100,100,-1.6270587098352862,0.1107133348617564,-1.17303589579683,-1.698483171590783,-162.7058709835286,0.0,-162.7058709835286,-162.7058709835286,-0.3594962,0.7916555,0.99961615,-0.9997955,1,-162.7058709835286,7231,63,156.33333333333334,61.753992223625154,200,69,-1.6606493231057664,0.11645944216927012,-1.1492528741246526,-2.181931796082856,-259.61484417886817,104.00958488921567,-112.57195960100833,-336.42006394306765,-0.36777925,0.7893082,0.9985364,-0.9986848,3,-259.61484417886817,0.0007150089368224144,97.39779518987052,15.040068993112072,0.0024569218512624502,0.00752598512917757,1.833548845956102,114.28211094485596,2024.3528025224805,16
1900,1378.4087,1371.6617,-459.28497,419.7744,509.55374,1970.0302,17.320646,419.9887,509.85074,1970.499,14.567756,416.49994,504.71802,1970.2745,-2.2109005,14.312559,6.9927464,28.933418,-9.392627,-1.0236197,1.5211705,2.6594052,-3.6756475,-0.53423476,0.1393636,0.05633132,-0.8819156,0.7300263047218323,1.3576321601867676,1900,37,100.0,0.0,100,100,-1.690605463165808,0.1187085598354432,-1.145190069271232,-1.74839441414431,-169.06054631658083,0.0,-169.06054631658083,-169.06054631658083,-0.45175603,0.6703912,0.9990244,-0.9994871,1,-169.06054631658083,7651,66,140.0,84.8528137423857,200,20,-1.6385276658179453,0.08145783418558973,-1.1606367999541927,-1.88172409539504,-229.3938732145124,140.95529224132287,-30.10261712351271,-332.8915202771996,-0.5093389,0.6621283,0.9918545,-0.99345434,3,-229.3938732145124,0.0019218709785491228,73.64733048412018,18.038829413009807,0.003172081895172596,0.00894059706479311,3.093050491064787,94.79324493813328,2119.1488567206543,17
2000,887.2356,888.1749,-633.9044,574.355,713.3528,2445.5566,20.510351,574.96716,714.6167,2452.0906,16.968985,575.99023,708.917,2405.3013,17.18409,18.312157,5.9767656,29.259678,1.1135163,-1.1272186,1.6771568,2.7411458,-2.8771906,-0.59866315,0.10508929,0.014110414,-0.78722614,0.746748149394989,2.4297361373901367,2000,38,100.0,0.0,100,100,-1.6704161066927714,0.11251034882041651,-1.186091723730031,-1.733963124057167,-167.04161066927713,0.0,-167.04161066927713,-167.04161066927713,-0.5030854,0.76421577,0.9984086,-0.9989418,1,-167.04161066927713,8076,70,106.25,93.75066666429632,200,12,-1.7245000870190559,0.12386454252881955,-1.158055182480509,-2.0841560800817667,-183.2281342457748,164.2613400337082,-19.10411738619744,-357.39051787168415,-0.5165209,0.75629085,0.9910415,-0.99179655,4,-183.2281342457748,0.00192000693641603,105.21967801079154,21.82101112487726,0.0031192959286272526,0.014594906941056252,3.520783863030374,130.58110720850527,2249.7357674392406,18
2100,2740.978,2644.2832,-647.852,579.1954,660.04865,2335.4377,25.890194,577.9276,658.73535,2338.196,25.592514,577.56525,653.7508,2342.3328,-2.2109005,18.157068,5.3202486,28.90166,-1.154943,-1.001038,1.7489808,2.668686,-2.7467375,-0.5773054,0.14460953,-0.09495782,-0.783704,0.769076943397522,2.1441240310668945,2100,39,100.0,0.0,100,100,-1.4399784656317567,0.06984827322917932,-1.1483446451450472,-1.5331549599177303,-143.99784656317573,0.0,-143.99784656317573,-143.99784656317573,-0.3773614,0.8196346,0.9986448,-0.99954563,1,-143.99784656317573,8573,76,82.83333333333333,84.05239767880245,200,11,-1.4376518918224654,0.06396986532174617,-1.1882396539262896,-1.7927814217632199,-119.08549837262755,121.30875056775297,-14.86598137634789,-288.4970516495712,-0.39093295,0.8007381,0.99448925,-0.99518716,6,-119.08549837262755,0.000686286948621273,105.90649548685178,12.480108937015757,0.002607237081974745,0.01172310789115727,1.9620260710362345,120.36364712682553,2370.1062645439524,19
