replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
275,3933.7856,3933.8218,-6.753813,0.0015210188,0.0022324545,0.0058634165,-0.006388689,-0.001284574,0.0017948484,0.0022747621,-0.006039877,9.2307825,62.037003,999.83167,3.6335864,-6.7553463,0.6260189,-5.0987825,-8.255453,0.0005463873,0.0018124598,0.0057481513,-0.0030419237,0.00049641903,0.0014415783,0.00404467,-0.0025957392,0.9997000694274902,-0.0,275,4,66.66666666666667,60.36187170354773,152,22,3.724017767208394,70.61224818689644,999.8316366614675,-1.8070875672661268,248.2678511472263,514.3446839201857,969.4535590812258,-194.44723987670977,0.011516534,0.62865305,0.9970712,-0.99634486,3,248.2678511472263,200,1,200.0,0.0,200,200,-1.2418304688317015,0.0033076778912298527,-1.2008597884760506,-1.2535617824623613,-248.3660937663403,0.0,-248.3660937663403,-248.3660937663403,0.00056827575,0.0016745441,0.0046874476,-0.0018652257,1,-248.3660937663403,0.0012411680072546005,39.56007409997983,45.45402338402346,0.002701552992220968,0.013243254972621799,1.8476479080272838,86.87893136800267,105.11871572292875,0
475,3787.6802,3791.195,-16.09181,9.234665,2.7764494,18.57617,2.2416418,8.956421,2.6665535,17.761593,2.4956768,9.095155,62.060394,999.83167,2.0672474,-6.021615,1.3503007,-1.9851394,-10.213513,-0.014561022,0.34060878,0.3969056,-0.44958755,-0.14418189,0.021340786,-0.08056898,-0.18411855,0.970316469669342,-0.4781213700771332,475,8,50.0,39.00640972968417,107,3,3.8815783954795644,70.61689509705522,999.8149426694837,-1.7132546119505951,194.07891977397827,471.0006503393994,1008.4339842142489,-113.91147892216921,-0.004054061,0.6048946,0.99641246,-0.99707395,4,194.07891977397827,400,2,200.0,0.0,200,200,-1.3174885920565447,0.01195646704545016,-1.213895145835527,-1.3199182971326504,-263.49771841130894,0.0,-263.49771841130894,-263.49771841130894,-0.013480019,0.32451156,0.33935282,-0.37472266,1,-263.49771841130894,0.0011848779977299273,46.31431494298158,51.85619211004814,0.0016501509817317128,0.012564478965941817,1.5653624139958993,99.75126897497103,204.872948021919,1
675,3651.3047,3658.223,-16.648037,7.6021013,9.448767,49.558903,0.040603213,7.349955,9.277546,47.902027,0.037261095,5.7101107,62.32946,999.81494,-4.8204117,0.4691494,3.4338737,10.27218,-9.790007,0.04494483,1.0064799,1.3590175,-1.322219,-0.3490483,0.068058744,-0.15186505,-0.5168444,0.9459933638572693,-0.5272886753082275,675,10,100.0,94.0,194,6,-1.4196251599570164,0.059136303524003155,-1.1829041237360245,-1.634030486764002,-141.9625159957016,134.53070148226573,-7.431814513435908,-276.49321747796733,0.023045952,0.7026164,0.99797475,-0.9974812,2,-141.9625159957016,600,3,200.0,0.0,200,200,-1.4855452938944667,0.8001572756956183,9.783500783185717,-1.5562781000419237,-297.10905877889354,0.0,-297.10905877889354,-297.10905877889354,0.020833151,0.7091795,0.8492606,-0.84287477,1,-297.10905877889354,0.0013316250406205654,38.61026181397028,36.145679551002104,0.0018604869837872684,0.01390723796794191,2.0114889980177395,76.78452971298248,281.65953346097376,2
875,246.391,236.46481,-27.117123,9.163285,14.227993,85.16655,0.7094843,9.292692,13.8187685,83.82734,0.80695266,3.68815,3.02473,15.022219,-7.288474,2.372603,7.8084764,17.799265,-10.3426075,0.042992543,1.1916157,2.001076,-1.9798821,-0.38524562,0.16176932,-0.089144796,-0.68884844,0.9263960123062134,-0.581942081451416,875,12,100.0,60.0,160,40,-1.3407965537188857,0.7918007104359889,9.737594487828405,-1.9332670801502467,-134.07965537188858,86.04882549257341,-48.030829879315164,-220.12848086446198,0.013854735,0.6645444,0.9966804,-0.99852127,2,-134.07965537188858,800,4,200.0,0.0,200,200,-1.3993929492673778,0.022824228942129807,-1.2004834871642167,-1.426521040651014,-279.87858985347583,0.0,-279.87858985347583,-279.87858985347583,0.016982079,0.4711343,0.9655949,-0.9641474,1,-279.87858985347583,0.002250825986266136,46.57482334005181,37.38614776200848,0.002008034964092076,0.006194006011355668,1.9098962920252234,85.88132026104722,367.54311203892576,3
1075,117.132706,113.49628,-24.853516,8.976974,10.287246,88.180664,2.6539464,9.352991,9.893631,86.57126,3.3125885,9.625023,7.092452,33.371017,-1.6340305,-1.2528718,7.7858925,17.746422,-8.595558,0.03684375,0.895362,2.0327277,-2.081491,-0.25591546,0.17590581,-0.081115186,-0.6640324,0.9059282541275024,-1.1089292764663696,1075,14,100.0,79.0,179,21,-0.9031655315694332,2.0285609172894845,9.783461421937211,-1.5300301693586076,-90.3165531569433,63.16782804933086,-27.14872510761244,-153.48438120627415,0.027451202,0.6524784,0.99404454,-0.9946446,2,-90.3165531569433,1000,5,200.0,0.0,200,200,-1.3341260743796,0.009346761493776098,-1.2413452440474955,-1.3704175184929535,-266.82521487592,0.0,-266.82521487592,-266.82521487592,0.0066691455,0.25604692,0.96476454,-0.9665811,1,-266.82521487592,0.005322530982084572,44.854338000004645,36.21410235197982,0.0016065880190581083,0.010400970000773668,2.513598519959487,83.59936896094587,451.1449986738735,4
1275,164.46452,164.15668,-24.696096,13.478873,13.202578,115.82943,4.4494133,13.779064,12.923991,114.477135,3.487778,12.4128685,11.841819,67.731544,-1.6340305,-3.1224957,7.1596885,20.562243,-11.047651,0.029356513,0.75213766,2.3348026,-2.3273387,-0.21461543,0.16996175,-0.06431028,-0.7872466,0.8805779814720154,-1.664935827255249,1275,15,200.0,0.0,200,200,-1.2605955135453948,0.05555768842711289,-1.1414895187755396,-1.4276267453435363,-252.11910270907904,0.0,-252.11910270907904,-252.11910270907904,-0.007183872,0.6492203,0.99818563,-0.996513,1,-252.11910270907904,1058,6,58.0,0.0,58,58,-1.2964477904987068,0.07008161872736067,-1.2046078756523868,-1.560385640631038,-75.19397184892499,0.0,-75.19397184892499,-75.19397184892499,0.01431248,0.32713193,0.9713172,-0.96998596,1,-75.19397184892499,0.0011897830408997834,41.27493789000437,32.191851951007266,0.0018707090057432652,0.005844589963089675,1.5374100180342793,75.01310494105564,526.1603328508791,5
1475,517.09296,550.61926,-32.134853,21.15244,24.169182,157.76538,2.3496194,21.393019,24.534721,157.68997,2.000739,18.121946,20.926636,112.67522,-1.9332671,-2.9129052,7.0678334,19.719166,-8.620325,0.108209155,0.7745536,2.9046788,-2.9540603,-0.21601526,0.1689593,-0.09232075,-0.8387473,0.8521412014961243,-2.0618677139282227,1475,21,33.333333333333336,11.04033010778613,50,16,-1.342962467317062,0.12761813591225232,-1.1537286902243349,-1.9876799391273128,-44.76541557723541,14.481062615331336,-20.588971453202408,-65.58068460982969,0.08288396,0.68343556,0.99826556,-0.99887127,6,-44.76541557723541,1293,8,117.5,82.5,200,35,-1.3538794520691695,0.0443525297306265,-1.1720145652837115,-1.6568712559157617,-159.08083561812754,111.72397629959238,-47.35685931853515,-270.8048119177199,0.13668036,0.45290336,0.98919344,-0.99015266,2,-159.08083561812754,0.0013975899782963097,53.218381404993124,69.04293847200461,0.0020797139732167125,0.007217273989226669,1.7711077209678479,124.04312217590632,650.2059973197174,6
1675,7027.958,7086.3696,-33.392204,25.601948,36.780937,327.48227,4.2228193,25.41452,36.756134,335.4799,4.1493783,29.31926,90.32201,999.83167,-1.6340305,-0.68348396,8.559852,25.010506,-9.040772,0.21680716,0.9521203,3.244952,-3.1426566,-0.26261768,0.18446614,-0.06458401,-0.8887214,0.8253411054611206,-2.0476131439208984,1675,25,50.0,76.45586962424795,182,1,8.520873347734053,99.62907209089202,999.826574617889,-1.770625206016269,426.04366738670274,580.6206124667254,999.826574617889,-273.4607153320249,0.35829273,0.7672763,0.9995449,-0.99938625,4,426.04366738670274,1447,10,77.0,73.0,150,4,5.008182193358555,80.42208309609579,999.7739354673156,-1.693112442408858,385.6300288886087,610.6284461316262,996.2584750202349,-224.99841724301749,0.3888628,0.76446927,0.9964594,-0.9956076,2,385.6300288886087,0.00121604697778821,48.632784885994624,50.97632842703024,0.0050310600199736655,0.018126949958968908,2.274547024979256,101.90803439496085,752.1170220656786,7
1875,334.15665,322.6546,-49.4062,31.451212,39.473606,334.09677,1.841103,30.76852,38.756554,319.7735,4.8227816,28.223969,35.43526,226.82126,-1.5300301,5.7775884,9.824837,26.537268,-9.407364,0.3230999,1.3565066,2.7643948,-2.6378706,-0.3923173,0.2031018,-0.08078534,-0.8040441,0.8090598583221436,-0.8941263556480408,1875,27,100.0,76.0,176,24,-1.5935126095592635,0.10399227194669312,-1.171477107080029,-1.8216248315538766,-159.35126095592642,124.17741775566134,-35.17384320026508,-283.52867871158776,0.26118183,0.8634829,0.9989644,-0.99845827,2,-159.35126095592642,1647,11,200.0,0.0,200,200,-1.520599265580047,0.8002884267546094,9.733926090311734,-1.5906423814043253,-304.11985311600944,0.0,-304.11985311600944,-304.11985311600944,0.28058875,0.8595539,0.98942286,-0.9868668,1,-304.11985311600944,0.001194084994494915,38.547390804975294,33.70896122098202,0.0015544539783149958,0.005868041014764458,1.4656432010233402,73.73061180696823,825.8521809877129,8
2075,259.49997,279.69452,-66.65642,39.96222,43.07624,290.01306,0.099578746,39.0554,41.68716,287.24625,0.130519,40.6184,38.725426,230.3146,-1.98768,9.682901,9.459134,28.627419,-9.90596,0.47886553,1.5450114,2.6434324,-2.7711518,-0.45772457,0.1822633,-0.036335826,-0.803131,0.8034371733665466,-0.0693921446800232,2075,28,200.0,0.0,200,200,-1.5116844211070555,0.05553464364289565,-1.2248447404106633,-1.5841723707114574,-302.33688422141097,0.0,-302.33688422141097,-302.33688422141097,0.3121489,0.82475626,0.99908,-0.99860424,1,-302.33688422141097,1847,12,200.0,0.0,200,200,-1.5966567795370372,0.060514062701547924,-1.1850648170048714,-1.6099317366924546,-319.3313559074073,0.0,-319.3313559074073,-319.3313559074073,0.34434834,0.8489047,0.9855607,-0.98487943,1,-319.3313559074073,0.0011980749550275505,38.63785163598368,26.389707955007907,0.001546443032566458,0.005862962978426367,1.4610970829962753,66.49726415495388,892.3519310966949,9
